id,createdAt,updatedAt,handle,name,type,isAssistant,teamId
202979,2021-03-30 17:18:05.475,2021-03-30 17:19:29.956,202979,Jamie Young,Assistant Coach,2,1610612738
1627329,2021-03-30 17:18:05.477,2021-03-30 17:19:29.982,1627329,Scott Morrison,Assistant Coach,2,1610612738
1628210,2021-03-30 17:18:05.479,2021-03-30 17:19:29.996,1628210,Joe Mazzulla,Assistant Coach,2,1610612738
1628765,2021-03-30 17:18:05.482,2021-03-30 17:19:30.028,1628765,Art Horne,Trainer,3,1610612738
959,2021-03-30 17:18:05.484,2021-03-30 17:19:30.247,959,Steve Nash,Head Coach,1,1610612751
202588,2021-03-30 17:18:05.486,2021-03-30 17:19:30.253,202588,Jacque Vaughn,Lead Assistant Coach,13,1610612751
1783,2021-03-30 17:18:05.488,2021-03-30 17:19:30.278,1783,Mike D'Antoni,Assistant Coach,2,1610612751
203152,2021-03-30 17:18:05.49,2021-03-30 17:19:30.287,203152,Ime Udoka,Assistant Coach,2,1610612751
1627876,2021-03-30 17:18:05.492,2021-03-30 17:19:30.3,1627876,Adam Harrington,Assistant Coach,2,1610612751
202435,2021-03-30 17:18:05.494,2021-03-30 17:19:30.608,202435,James Borrego,Head Coach,1,1610612766
2472,2021-03-30 17:18:05.498,2021-03-30 17:19:30.639,2472,Jay Triano,Assistant Coach,2,1610612766
202602,2021-03-30 17:18:05.5,2021-03-30 17:19:30.647,202602,Chad Iske,Assistant Coach,2,1610612766
101278,2021-03-30 17:18:05.501,2021-03-30 17:19:30.654,101278,Joe Sharpe,Trainer,3,1610612766
201666,2021-03-30 17:18:05.503,2021-03-30 17:19:30.681,201666,Dennis Williams,Assistant Trainer,4,1610612766
1627310,2021-03-30 17:18:05.505,2021-03-30 17:19:30.894,1627310,Billy Donovan,Head Coach,1,1610612741
1627604,2021-03-30 17:18:05.523,2021-03-30 17:19:30.902,1627604,Chris Fleming,Assistant Coach,2,1610612741
2511,2021-03-30 17:18:05.525,2021-03-30 17:19:30.926,2511,Mike Wilhelm,Assistant Coach,2,1610612741
204031,2021-03-30 17:18:05.527,2021-03-30 17:19:30.943,204031,Joshua Longstaff,Assistant Coach,2,1610612741
1312,2021-03-30 17:18:05.529,2021-03-30 17:19:30.951,1312,Maurice Cheeks,Assistant Coach,2,1610612741
2394,2021-03-30 17:18:05.531,2021-03-30 17:19:30.957,2394,Pete Myers,Assistant Coach,2,1610612741
1629710,2021-03-30 17:18:05.533,2021-03-30 17:19:31.194,1629710,Lindsay Gottlieb,Assistant Coach,2,1610612739
204238,2021-03-30 17:18:05.534,2021-03-30 17:19:31.207,204238,Antonio Lang,Assistant Coach,2,1610612739
1629110,2021-03-30 17:18:05.536,2021-03-30 17:19:31.234,1629110,Dan Geriot,Assistant Coach,2,1610612739
204286,2021-03-30 17:18:05.54,2021-03-30 17:19:31.248,204286,Stephen Spiro,Trainer,3,1610612739
1320,2021-03-30 17:18:05.542,2021-03-30 17:19:31.478,1320,Rick Carlisle,Head Coach,1,1610612742
1628785,2021-03-30 17:18:05.677,2021-03-30 17:19:31.486,1628785,Zach Guthrie,Assistant Coach,2,1610612742
202427,2021-03-30 17:18:05.544,2021-03-30 17:19:31.493,202427,Jamahl Mosley,Assistant Coach,2,1610612742
2868,2021-03-30 17:18:05.548,2021-03-30 17:19:31.534,2868,Casey Smith,Trainer,3,1610612742
2871,2021-03-30 17:18:05.549,2021-03-30 17:19:31.541,2871,Dionne Calhoun,Assistant Trainer,4,1610612742
2610,2021-03-30 17:18:05.551,2021-03-30 17:19:31.751,2610,Michael Malone,Head Coach,1,1610612743
203391,2021-03-30 17:18:05.553,2021-03-30 17:19:31.758,203391,Ryan Bowen,Assistant Coach,2,1610612743
202894,2021-03-30 17:18:05.555,2021-03-30 17:19:31.782,202894,Charles Klask,Assistant Coach,2,1610612743
203165,2021-03-30 17:18:05.573,2021-03-30 17:19:31.789,203165,Bob Weiss,Assistant Coach,2,1610612743
203759,2021-03-30 17:18:05.577,2021-03-30 17:19:31.802,203759,Jordi Fernandez,Assistant Coach,2,1610612743
1018,2021-03-30 17:18:05.579,2021-03-30 17:19:31.808,1018,Wes Unseld,Assistant Coach,2,1610612743
1627167,2021-03-30 17:18:05.581,2021-03-30 17:19:31.831,1627167,Dan Shimensky,Trainer,3,1610612743
204230,2021-03-30 17:18:05.583,2021-03-30 17:19:32.048,204230,Tim Hardaway,Assistant Coach,2,1610612765
1336,2021-03-30 17:18:05.584,2021-03-30 17:19:32.054,1336,Tim Grgurich,Assistant Coach,2,1610612765
202101,2021-03-30 17:18:05.586,2021-03-30 17:19:32.078,202101,Micah Nori,Assistant Coach,2,1610612765
1226,2021-03-30 17:18:05.591,2021-03-30 17:19:32.093,1226,Sidney Lowe,Assistant Coach,2,1610612765
201678,2021-03-30 17:18:05.592,2021-03-30 17:19:32.099,201678,Jim Scholler,Trainer,3,1610612765
204239,2021-03-30 17:18:05.594,2021-03-30 17:19:32.303,204239,Jarron Collins,Assistant Coach,2,1610612744
1658,2021-03-30 17:18:05.596,2021-03-30 17:19:32.327,1658,Mike Brown,Assistant Coach,2,1610612744
204260,2021-03-30 17:18:05.598,2021-03-30 17:19:32.337,204260,Bruce Fraser,Assistant Coach,2,1610612744
1796,2021-03-30 17:18:05.6,2021-03-30 17:19:32.344,1796,Ron Adams,Assistant Coach,2,1610612744
2152,2021-03-30 17:18:05.603,2021-03-30 17:19:32.577,2152,Stephen Silas,Head Coach,1,1610612745
1786,2021-03-30 17:18:05.622,2021-03-30 17:19:32.592,1786,John Lucas,Assistant Coach,2,1610612745
201765,2021-03-30 17:18:05.679,2021-03-30 17:19:32.836,201765,Nate Bjorkgren,Head Coach,1,1610612754
201696,2021-03-30 17:18:05.681,2021-03-30 17:19:32.85,201696,Kaleb Canales,Assistant Coach,2,1610612754
101200,2021-03-30 17:18:05.683,2021-03-30 17:19:32.89,101200,Josh Corbeil,Trainer,3,1610612754
201675,2021-03-30 17:18:05.625,2021-03-30 17:19:32.897,201675,Carl Eaton,Assistant Trainer,4,1610612754
202978,2021-03-30 17:18:05.627,2021-03-30 17:19:33.079,202978,Tyronn Lue,Head Coach,1,1610612746
2345,2021-03-30 17:18:05.687,2021-03-30 17:19:33.352,2345,Frank Vogel,Head Coach,1,1610612747
1629748,2021-03-30 17:18:05.689,2021-03-30 17:19:33.358,1629748,Quinton Crawford,Assistant Coach,2,1610612747
1353,2021-03-30 17:18:05.691,2021-03-30 17:19:33.381,1353,Lionel Hollins,Assistant Coach,2,1610612747
203456,2021-03-30 17:18:05.693,2021-03-30 17:19:33.388,203456,Jason Kidd,Assistant Coach,2,1610612747
203597,2021-03-30 17:18:05.695,2021-03-30 17:19:33.395,203597,Phil Handy,Assistant Coach,2,1610612747
203624,2021-03-30 17:18:05.699,2021-03-30 17:19:33.631,203624,Taylor Jenkins,Head Coach,1,1610612763
2086,2021-03-30 17:18:05.701,2021-03-30 17:19:33.651,2086,Scoonie Penn,Assistant Coach,2,1610612763
1628234,2021-03-30 17:18:05.703,2021-03-30 17:19:33.69,1628234,David McClure,Assistant Coach,2,1610612763
1630018,2021-03-30 17:18:05.705,2021-03-30 17:19:33.704,1630018,Eric Oetter,Trainer,3,1610612763
1787,2021-03-30 17:18:05.723,2021-03-30 17:19:33.892,1787,Erik Spoelstra,Head Coach,1,1610612748
2630,2021-03-30 17:18:05.629,2021-03-30 17:19:34.652,2630,Bob Beyer,Assistant Coach,2,1610612740
1629450,2021-03-30 17:18:05.633,2021-03-30 17:19:34.951,1629450,Larry Greer,Assistant Coach,2,1610612752
1370,2021-03-30 17:18:05.635,2021-03-30 17:19:34.989,1370,Roger Hinds,Trainer,3,1610612752
1629758,2021-03-30 17:18:05.636,2021-03-30 17:19:35.192,1629758,Dave Bliss,Assistant Coach,2,1610612760
203758,2021-03-30 17:18:05.638,2021-03-30 17:19:35.199,203758,Mike Miller,Assistant Coach,2,1610612760
2366,2021-03-30 17:18:05.641,2021-03-30 17:19:35.206,2366,Mike Wilks,Assistant Coach,2,1610612760
202859,2021-03-30 17:18:05.642,2021-03-30 17:19:35.239,202859,David Akinyooye,Assistant Coach,2,1610612760
204013,2021-03-30 17:18:05.644,2021-03-30 17:19:35.483,204013,Pat Delany,Assistant Coach,2,1610612753
1629427,2021-03-30 17:18:05.648,2021-03-30 17:19:35.977,1629427,Brian Randle,Assistant Coach,2,1610612756
1865,2021-03-30 17:18:05.65,2021-03-30 17:19:35.985,1865,Randy Ayers,Assistant Coach,2,1610612756
201046,2021-03-30 17:18:05.652,2021-03-30 17:19:36.501,201046,Lindsey Harding,Assistant Coach,2,1610612758
1627564,2021-03-30 17:18:05.654,2021-03-30 17:19:36.531,1627564,Jonah Herscu,Assistant Coach,2,1610612758
1628770,2021-03-30 17:18:05.891,2021-03-30 17:19:29.681,1628770,Matt Hill,Assistant Coach,2,1610612737
1831,2021-03-30 17:18:05.893,2021-03-30 17:19:29.689,1831,Marlon Garnett,Assistant Coach,2,1610612737
1628764,2021-03-30 17:18:05.895,2021-03-30 17:19:29.697,1628764,Scottie Parker,Trainer,3,1610612737
1627877,2021-03-30 17:18:05.897,2021-03-30 17:19:30.327,1627877,Jordan Ott,Assistant Coach,2,1610612751
1628803,2021-03-30 17:18:05.899,2021-03-30 17:19:30.343,1628803,Ryan Forehan-Kelly,Assistant Coach,2,1610612751
203550,2021-03-30 17:18:05.903,2021-03-30 17:19:30.377,203550,Sebastien Poirier,Trainer,3,1610612751
203811,2021-03-30 17:18:05.922,2021-03-30 17:19:31.201,203811,Greg Buckner,Assistant Coach,2,1610612739
1628227,2021-03-30 17:18:05.925,2021-03-30 17:19:32.358,1628227,Drew Yoder,Trainer,3,1610612744
1630277,2021-03-30 17:18:05.927,2021-03-30 17:19:32.585,1630277,Rick Higgins,Assistant Coach,2,1610612745
202898,2021-03-30 17:18:05.929,2021-03-30 17:19:32.606,202898,Jeff Hornacek,Assistant Coach,2,1610612745
1627657,2021-03-30 17:18:05.931,2021-03-30 17:19:32.631,1627657,Will Weaver,Assistant Coach,2,1610612745
1257,2021-03-30 17:18:05.932,2021-03-30 17:19:32.639,1257,Keith Jones,Trainer,3,1610612745
202431,2021-03-30 17:18:05.934,2021-03-30 17:19:32.645,202431,Jason Biles,Trainer,3,1610612745
203785,2021-03-30 17:18:05.936,2021-03-30 17:19:32.843,203785,Greg Foster,Assistant Coach,2,1610612754
203764,2021-03-30 17:18:05.94,2021-03-30 17:19:32.883,203764,Tyler Marsh,Assistant Coach,2,1610612754
1271,2021-03-30 17:18:05.943,2021-03-30 17:19:33.138,1271,Larry Drew,Assistant Coach,2,1610612746
2010,2021-03-30 17:18:05.945,2021-03-30 17:19:33.153,2010,Jasen Powell,Trainer,3,1610612746
203797,2021-03-30 17:18:05.947,2021-03-30 17:19:33.658,203797,Brad Jones,Assistant Coach,2,1610612763
204011,2021-03-30 17:18:05.949,2021-03-30 17:19:33.683,204011,Darko Rajakovic,Assistant Coach,2,1610612763
204229,2021-03-30 17:18:05.726,2021-03-30 17:19:33.899,204229,Malik Allen,Assistant Coach,2,1610612748
2406,2021-03-30 17:18:05.951,2021-03-30 17:19:33.906,2406,Caron Butler,Assistant Coach,2,1610612748
1281,2021-03-30 17:18:05.73,2021-03-30 17:19:33.946,1281,Jay Sabol,Trainer,3,1610612748
1628784,2021-03-30 17:18:05.732,2021-03-30 17:19:34.14,1628784,Pat St. Andrews,Assistant Coach,2,1610612749
2649,2021-03-30 17:18:05.734,2021-03-30 17:19:34.146,2649,Chad Forcier,Assistant Coach,2,1610612749
203005,2021-03-30 17:18:05.737,2021-03-30 17:19:34.153,203005,Darvin Ham,Assistant Coach,2,1610612749
204224,2021-03-30 17:18:05.953,2021-03-30 17:19:34.177,204224,Ben Sullivan,Assistant Coach,2,1610612749
204225,2021-03-30 17:18:05.955,2021-03-30 17:19:34.185,204225,Charles Lee,Assistant Coach,2,1610612749
452,2021-03-30 17:18:05.973,2021-03-30 17:19:34.193,452,Vin Baker,Assistant Coach,2,1610612749
202896,2021-03-30 17:18:05.741,2021-03-30 17:19:34.391,202896,Chris Finch,Head Coach,1,1610612750
203150,2021-03-30 17:18:05.744,2021-03-30 17:19:34.398,203150,David Vanterpool,Associate Head Coach,9,1610612750
1628772,2021-03-30 17:18:05.746,2021-03-30 17:19:34.404,1628772,Kevin Burleson,Assistant Coach,2,1610612750
974,2021-03-30 17:18:05.748,2021-03-30 17:19:34.428,974,Joseph Blair,Assistant Coach,2,1610612750
2146,2021-03-30 17:18:05.752,2021-03-30 17:19:34.45,2146,Gregg Farnam,Trainer,3,1610612750
1277,2021-03-30 17:18:05.976,2021-03-30 17:19:34.638,1277,Stan Van Gundy,Head Coach,1,1610612740
201676,2021-03-30 17:18:05.978,2021-03-30 17:19:34.645,201676,Fred Vinson,Assistant Coach,2,1610612740
100101,2021-03-30 17:18:05.979,2021-03-30 17:19:34.676,100101,Teresa Weatherspoon,Assistant Coach,2,1610612740
203243,2021-03-30 17:18:05.754,2021-03-30 17:19:34.686,203243,Casey Hill,Assistant Coach,2,1610612740
777,2021-03-30 17:18:05.981,2021-03-30 17:19:34.693,777,Rex Walters,Assistant Coach,2,1610612740
1630382,2021-03-30 17:18:05.983,2021-03-30 17:19:34.7,1630382,Tom Maystadt,Trainer,3,1610612740
204008,2021-03-30 17:18:05.775,2021-03-30 17:19:34.903,204008,Johnnie Bryant,Associate Head Coach,9,1610612752
1630161,2021-03-30 17:18:05.777,2021-03-30 17:19:34.928,1630161,Kenny Payne,Lead Assistant Coach,13,1610612752
1285,2021-03-30 17:18:05.985,2021-03-30 17:19:34.936,1285,Mike Woodson,Assistant Coach,2,1610612752
2519,2021-03-30 17:18:05.78,2021-03-30 17:19:34.958,2519,Andy Greer,Assistant Coach,2,1610612752
101269,2021-03-30 17:18:05.782,2021-03-30 17:19:34.982,101269,Anthony Goenaga,Trainer,3,1610612752
1627327,2021-03-30 17:18:05.784,2021-03-30 17:19:35.185,1627327,Mark Daigneault,Head Coach,1,1610612760
